Country,Month,Year,New_cases
China,Jan,2020,9720
China,Feb,2020,69669
China,Mar,2020,3156
China,Apr,2020,1828
China,May,2020,197
China,Jun,2020,657
China,Jul,2020,2729
China,Aug,2020,2427
China,Sep,2020,658
China,Oct,2020,852
China,Nov,2020,1572
China,Dec,2020,3208
China,Jan,2021,4301
China,Feb,2021,1021
China,Mar,2021,842
China,Apr,2021,887
China,May,2021,7901
China,Jun,2021,7121
China,Jul,2021,2150
China,Aug,2021,2346
China,Sep,2021,1661
China,Oct,2021,1405
China,Nov,2021,1944
China,Dec,2021,4133
China,Jan,2022,7134
China,Feb,2022,342345
China,Mar,2022,573847
China,Apr,2022,199421
China,May,2022,1928263
China,Jun,2022,1786849
China,Jul,2022,846753
China,Aug,2022,785354
China,Sep,2022,1261860
China,Oct,2022,1328999
China,Nov,2022,743628
China,Dec,2022,75258368
US,Jan,2020,8
US,Feb,2020,61
US,Mar,2020,173074
US,Apr,2020,857163
US,May,2020,755116
US,Jun,2020,821191
US,Jul,2020,1884228
US,Aug,2020,1524538
US,Sep,2020,1201705
US,Oct,2020,1815557
US,Nov,2020,4374916
US,Dec,2020,6170028
US,Jan,2021,6285448
US,Feb,2021,2639040
US,Mar,2021,1776581
US,Apr,2021,1887845
US,May,2021,981676
US,Jun,2021,401235
US,Jul,2021,1373312
US,Aug,2021,4114589
US,Sep,2021,4301847
US,Oct,2021,2660643
US,Nov,2021,2538477
US,Dec,2021,5449603
US,Jan,2022,20444764
US,Feb,2022,4538965
US,Mar,2022,1022157
US,Apr,2022,1244096
US,May,2022,2698000
US,Jun,2022,3215520
US,Jul,2022,3922935
US,Aug,2022,2879420
US,Sep,2022,1945523
US,Oct,2022,1204618
US,Nov,2022,1125356
US,Dec,2022,2111048
Malaysia,Jan,2020,8
Malaysia,Feb,2020,17
Malaysia,Mar,2020,2295
Malaysia,Apr,2020,3225
Malaysia,May,2020,1684
Malaysia,Jun,2020,872
Malaysia,Jul,2020,306
Malaysia,Aug,2020,342
Malaysia,Sep,2020,1700
Malaysia,Oct,2020,18306
Malaysia,Nov,2020,32287
Malaysia,Dec,2020,42205
Malaysia,Jan,2021,93448
Malaysia,Feb,2021,87621
Malaysia,Mar,2021,42133
Malaysia,Apr,2021,59425
Malaysia,May,2021,149821
Malaysia,Jun,2021,177346
Malaysia,Jul,2021,326667
Malaysia,Aug,2021,592817
Malaysia,Sep,2021,486706
Malaysia,Oct,2021,215114
Malaysia,Nov,2021,156261
Malaysia,Dec,2021,117734
Malaysia,Jan,2022,102983
Malaysia,Feb,2022,597832
Malaysia,Mar,2022,724862
Malaysia,Apr,2022,243978
Malaysia,May,2022,55730
Malaysia,Jun,2022,56678
Malaysia,Jul,2022,102084
Malaysia,Aug,2022,98924
Malaysia,Sep,2022,56721
Malaysia,Oct,2022,54724
Malaysia,Nov,2022,88708
Malaysia,Dec,2022,34471
Australia,Jan,2020,9
Australia,Feb,2020,16
Australia,Mar,2020,3784
Australia,Apr,2020,2379
Australia,May,2020,404
Australia,Jun,2020,501
Australia,Jul,2020,7537
Australia,Aug,2020,9145
Australia,Sep,2020,1374
Australia,Oct,2020,491
Australia,Nov,2020,303
Australia,Dec,2020,444
Australia,Jan,2021,419
Australia,Feb,2021,167
Australia,Mar,2021,308
Australia,Apr,2021,475
Australia,May,2021,282
Australia,Jun,2021,729
Australia,Jul,2021,2960
Australia,Aug,2021,21866
Australia,Sep,2021,48489
Australia,Oct,2021,59788
Australia,Nov,2021,37441
Australia,Dec,2021,155182
Australia,Jan,2022,1688712
Australia,Feb,2022,693697
Australia,Mar,2022,1150567
Australia,Apr,2022,1351213
Australia,May,2022,1478635
Australia,Jun,2022,779787
Australia,Jul,2022,1138110
Australia,Aug,2022,782078
Australia,Sep,2022,195644
Australia,Oct,2022,129984
Australia,Nov,2022,307187
Australia,Dec,2022,418758
India,Jan,2020,5
India,Feb,2020,2
India,Mar,2020,972
India,Apr,2020,30081
India,May,2020,132749
India,Jun,2020,366175
India,Jul,2020,964829
India,Aug,2020,1825102
India,Sep,2020,2524046
India,Oct,2020,1814440
India,Nov,2020,1255800
India,Dec,2020,792612
India,Jan,2021,453374
India,Feb,2021,366058
India,Mar,2021,942913
India,Apr,2021,6227189
India,May,2021,8966271
India,Jun,2021,2269363
India,Jul,2021,1165266
India,Aug,2021,1081037
India,Sep,2021,947571
India,Oct,2021,506177
India,Nov,2021,307532
India,Dec,2021,221064
India,Jan,2022,6019437
India,Feb,2022,1628605
India,Mar,2022,97852
India,Apr,2022,47736
India,May,2022,77179
India,Jun,2022,275258
India,Jul,2022,527566
India,Aug,2022,395512
India,Sep,2022,165967
India,Oct,2022,63355
India,Nov,2022,18476
India,Dec,2022,5568
Indonesia,Jan,2020,0
Indonesia,Feb,2020,0
Indonesia,Mar,2020,1285
Indonesia,Apr,2020,8243
Indonesia,May,2020,15098
Indonesia,Jun,2020,28619
Indonesia,Jul,2020,48087
Indonesia,Aug,2020,60819
Indonesia,Sep,2020,107928
Indonesia,Oct,2020,117040
Indonesia,Nov,2020,124178
Indonesia,Dec,2020,188239
Indonesia,Jan,2021,308597
Indonesia,Feb,2021,263000
Indonesia,Mar,2021,166459
Indonesia,Apr,2021,151156
Indonesia,May,2021,141558
Indonesia,Jun,2021,334762
Indonesia,Jul,2021,1152934
Indonesia,Aug,2021,664173
Indonesia,Sep,2021,123613
Indonesia,Oct,2021,28111
Indonesia,Nov,2021,11754
Indonesia,Dec,2021,5942
Indonesia,Jan,2022,68043
Indonesia,Feb,2022,1235806
Indonesia,Mar,2022,441198
Indonesia,Apr,2022,33649
Indonesia,May,2022,7619
Indonesia,Jun,2022,31239
Indonesia,Jul,2022,109035
Indonesia,Aug,2022,142077
Indonesia,Sep,2022,66745
Indonesia,Oct,2022,56281
Indonesia,Nov,2022,166156
Indonesia,Dec,2022,53931
Russia,Jan,2020,0
Russia,Feb,2020,2
Russia,Mar,2020,1532
Russia,Apr,2020,97062
Russia,May,2020,281125
Russia,Jun,2020,235313
Russia,Jul,2020,181141
Russia,Aug,2020,145365
Russia,Sep,2020,172486
Russia,Oct,2020,405407
Russia,Nov,2020,651200
Russia,Dec,2020,809383
Russia,Jan,2021,653751
Russia,Feb,2021,407211
Russia,Mar,2021,282464
Russia,Apr,2021,251462
Russia,May,2021,248460
Russia,Jun,2021,421640
Russia,Jul,2021,703903
Russia,Aug,2021,616954
Russia,Sep,2021,568173
Russia,Oct,2021,921520
Russia,Nov,2021,1090443
Russia,Dec,2021,821390
Russia,Jan,2022,1115797
Russia,Feb,2022,4634292
Russia,Mar,2022,1405467
Russia,Apr,2022,332066
Russia,May,2022,141682
Russia,Jun,2022,95770
Russia,Jul,2022,146734
Russia,Aug,2022,843962
Russia,Sep,2022,1419501
Russia,Oct,2022,431166
Russia,Nov,2022,155234
Russia,Dec,2022,196344
Japan,Jan,2020,12
Japan,Feb,2020,218
Japan,Mar,2020,1463
Japan,Apr,2020,11899
Japan,May,2020,2631
Japan,Jun,2020,1625
Japan,Jul,2020,13308
Japan,Aug,2020,32051
Japan,Sep,2020,14629
Japan,Oct,2020,15842
Japan,Nov,2020,44261
Japan,Dec,2020,76360
Japan,Jan,2021,152779
Japan,Feb,2021,43986
Japan,Mar,2021,37402
Japan,Apr,2021,112009
Japan,May,2021,150072
Japan,Jun,2021,51446
Japan,Jul,2021,102740
Japan,Aug,2021,528541
Japan,Sep,2021,213483
Japan,Oct,2021,21014
Japan,Nov,2021,4357
Japan,Dec,2021,5531
Japan,Jan,2022,850808
Japan,Feb,2022,2336907
Japan,Mar,2022,1446216
Japan,Apr,2022,1298406
Japan,May,2022,935106
Japan,Jun,2022,432801
Japan,Jul,2022,2788592
Japan,Aug,2022,5953505
Japan,Sep,2022,2415039
Japan,Oct,2022,1003424
Japan,Nov,2022,2359178
Japan,Dec,2022,3971057
Korea,Jan,2020,11
Korea,Feb,2020,2920
Korea,Mar,2020,6652
Korea,Apr,2020,975
Korea,May,2020,637
Korea,Jun,2020,1289
Korea,Jul,2020,1452
Korea,Aug,2020,5095
Korea,Sep,2020,3752
Korea,Oct,2020,2459
Korea,Nov,2020,7250
Korea,Dec,2020,24506
Korea,Jan,2021,17122
Korea,Feb,2021,11861
Korea,Mar,2021,12554
Korea,Apr,2021,18368
Korea,May,2021,17282
Korea,Jun,2021,16164
Korea,Jul,2021,39084
Korea,Aug,2021,50266
Korea,Sep,2021,57847
Korea,Oct,2021,48867
Korea,Nov,2021,80842
Korea,Dec,2021,173617
