Country/Region,Confirmed,Deaths,Recovered,Active,Latitude,Longitude
Afghanistan,36263,1269,25198,9796,33.9391,67.71
Albania,4880,144,2745,1991,41.1533,20.1683
Algeria,27973,1163,18837,7973,28.0339,1.6596
Andorra,907,52,803,52,42.5063,1.5218
Angola,950,41,242,667,-11.2027,17.8739
Antigua and Barbuda,86,3,65,18,17.0608,-61.7964
Argentina,167416,3059,72575,91782,-38.4161,-63.6167
Armenia,37390,711,26665,10014,40.0691,45.0382
Australia,15303,167,9311,5825,-25.2744,133.7751
Austria,20558,713,18246,1599,47.5162,14.5501
Azerbaijan,30446,423,23242,6781,40.1431,47.5769
Bahamas,382,11,91,280,25.0343,-77.3963
Bahrain,39482,141,36110,3231,25.9304,50.6378
Bangladesh,226225,2965,125683,97577,23.685,90.3563
Barbados,110,7,94,9,13.1939,-59.5432
Belarus,67251,538,60492,6221,53.7098,27.9534
Belgium,66428,9822,17452,39154,50.8503,4.3517
Belize,48,2,26,20,17.1899,-88.4976
Benin,1770,35,1036,699,9.3077,2.3158
Bhutan,99,0,86,13,27.5142,90.4336
Bolivia,71181,2647,21478,47056,-16.2902,-63.5887
Bosnia and Herzegovina,10498,294,4930,5274,43.9159,17.6791
Botswana,739,2,63,674,-22.3285,24.6849
Brazil,2442375,87618,1846641,508116,-14.235,-51.9253
Brunei,141,3,138,0,4.5353,114.7277
Bulgaria,10621,347,5585,4689,42.7339,25.4858
Burkina Faso,1100,53,926,121,12.2383,-1.5616
Burma,350,6,292,52,21.9162,95.956
Burundi,378,1,301,76,-3.3731,29.9189
Cabo Verde,2328,22,1550,756,16.5388,-23.0418
Cambodia,226,0,147,79,12.5657,104.991
Cameroon,17110,391,14539,2180,3.848,11.5021
Canada,116458,8944,0,107514,56.1304,-106.3468
Central African Republic,4599,59,1546,2994,6.6111,20.9394
Chad,922,75,810,37,15.4542,18.7322
Chile,347923,9187,319954,18782,-35.6751,-71.543
China,86783,4656,78869,3258,35.8617,104.1954
Colombia,257101,8777,131161,117163,4.5709,-74.2973
Comoros,354,7,328,19,-11.6455,43.3333
Congo (Brazzaville),3200,54,829,2317,-0.228,15.8277
Congo (Kinshasa),8844,208,5700,2936,-4.0383,21.7587
Costa Rica,15841,115,3824,11902,9.7489,-83.7534
Cote d'Ivoire,15655,96,10361,5198,7.5399,-5.5471
Croatia,4881,139,3936,806,45.1,15.2
Cuba,2532,87,2351,94,21.5218,-77.7812
Cyprus,1060,19,852,189,35.1264,33.4299
Czechia,15516,373,11428,3715,49.8175,15.473
Denmark,13761,613,12605,543,56.2639,9.5018
Djibouti,5059,58,4977,24,11.8251,42.5903
